-2.7290 -1.3011 0.5507 -1.5748 -2.2994 0.5662 -0.4052 0.0983
-0.6593 -0.6987 0.3067 -0.4630 -0.7413 0.0789 0.2440 -0.0263
-3.0105 -0.7788 0.2432 -0.5601 -3.0697 -0.6381 -2.6639 -0.8863
1.2888 0.1392 -0.5089 0.7849 0.4297 -0.8043 -1.0669 -0.9755
2.5035 1.1653 -1.5885 0.9757 2.2697 -1.2818 -1.3774 -2.2980
-1.6945 -0.8078 0.3421 -1.0506 -1.2178 0.3317 0.0529 0.1255
-2.0976 -1.2760 0.6188 -1.4059 -2.1962 0.6187 0.3217 0.3499
2.3403 0.9871 -0.8500 1.2105 1.7580 -0.7814 -0.5228 -0.8005
1.5105 0.9567 -0.8409 0.5250 1.1083 -0.2638 -0.4913 -0.8537
-2.5664 -1.7340 0.4581 -1.9231 -2.0545 0.4136 0.0786 -0.4244
-0.9556 0.1591 -0.3130 -0.7416 -1.0822 0.3411 -0.6732 -0.3727
2.8512 1.2103 -1.0437 1.4652 2.2248 -0.9175 -0.7032 -1.1689
0.3235 0.4980 -0.5465 -0.0085 -0.1183 -0.0199 -0.7360 -0.5411
-2.8756 -1.0778 0.6063 -1.7119 -2.2129 0.7633 0.1818 0.4703
0.4445 0.2992 -0.5450 0.2099 0.2408 -0.4706 -0.8981 -0.8746
2.9318 1.0296 -0.9942 1.5489 2.1668 -0.9875 -0.8885 -1.2086
-0.9922 -0.3200 0.1996 -0.6254 -0.9503 0.3895 0.0305 0.3021
-2.6787 -1.2123 0.3093 -1.2121 -1.8854 0.2291 -0.3909 -0.0244
1.7261 0.7382 -0.9766 0.6183 1.4916 -0.6828 -0.7299 -1.3235
-2.8153 -0.9496 0.5699 -1.6574 -2.5270 0.9133 -0.0744 0.5732
