-0.7892 -3.1036 2.0482 -0.6924 -2.6712 0.3165 -0.0222 -0.7545
-1.2969 -1.0784 0.9364 -0.6824 -1.3134 0.2168 0.4689 0.3037
-0.8052 -1.7392 1.3360 0.7526 -2.8247 -0.7708 -2.6175 -1.4395
-0.3328 -1.1444 0.8969 0.0344 -1.6644 0.2313 -1.0355 -0.1407
-0.1168 -1.5300 0.6853 -0.3428 -1.3212 0.0172 -0.9530 -1.2310
-0.3192 -1.9383 1.2270 -0.3670 -1.2994 0.0609 0.2572 -0.4298
-0.4430 -0.6846 0.4768 -0.3948 -0.9015 0.1231 0.2418 -0.0151
-0.2755 -0.7960 0.4906 -0.3497 -0.8817 0.0433 0.2822 -0.1434
-0.2517 -0.7979 0.3842 -0.6352 -1.0311 0.2453 0.3727 -0.5735
0.5426 -1.0648 0.3163 -0.0890 -0.2027 0.0180 -0.5411 -1.0352
0.4311 -1.2693 0.5833 0.0375 -1.3228 -0.1484 -0.6788 -0.9910
0.0415 -1.3761 0.7464 -0.3902 -1.2953 0.1195 0.1783 -0.6245
-0.1569 -1.4436 0.7835 -0.3172 -1.4523 -0.1714 0.0233 -0.7298
-0.4196 -2.2611 1.3588 -0.4786 -1.4974 -0.2655 0.7369 -0.6612
-0.1023 -1.5412 0.9162 -0.0601 -1.3800 -0.0036 -0.7664 -0.7523
-0.4163 -2.1721 1.4336 -0.4543 -1.8888 0.1746 0.2115 -0.4125
-0.9968 -1.5693 1.2070 -0.7991 -1.8672 0.3467 0.8061 0.1057
-1.1328 -1.6497 0.9082 -0.3957 -1.5594 0.0193 -0.1259 -0.4367
-0.9198 -1.9765 1.1976 -0.9857 -1.9232 0.3659 0.2074 -0.6770
-1.3550 -2.0036 1.5374 -1.0058 -2.5805 0.4922 0.6013 -0.0475
